File,k,Alpha,AIC,Entropy
sequence1.txt,1,0.01,2.06717,2.09449
sequence1.txt,1,0.1,2.07105,2.09449
sequence1.txt,1,1,2.0831,2.09449
sequence1.txt,2,0.01,2.06201,2.09449
sequence1.txt,2,0.1,2.07172,2.09449
sequence1.txt,2,1,2.1151,2.09449
sequence1.txt,3,0.01,2.03773,2.09449
sequence1.txt,3,0.1,2.07079,2.09449
sequence1.txt,3,1,2.22015,2.09449
sequence1.txt,4,0.01,1.94037,2.09449
sequence1.txt,4,0.1,2.05678,2.09449
sequence1.txt,4,1,2.49462,2.09449
sequence1.txt,5,0.01,1.68043,2.09449
sequence1.txt,5,0.1,2.02648,2.09449
sequence1.txt,5,1,2.9508,2.09449
sequence2.txt,1,0.01,3.29788,4.64768
sequence2.txt,1,0.1,3.30138,4.64768
sequence2.txt,1,1,3.32476,4.64768
sequence2.txt,2,0.01,2.74844,4.64768
sequence2.txt,2,0.1,2.7827,4.64768
sequence2.txt,2,1,2.94758,4.64768
sequence2.txt,3,0.01,2.20655,4.64768
sequence2.txt,3,0.1,2.3887,4.64768
sequence2.txt,3,1,2.99929,4.64768
sequence2.txt,4,0.01,1.73265,4.64768
sequence2.txt,4,0.1,2.27996,4.64768
sequence2.txt,4,1,3.51084,4.64768
sequence2.txt,5,0.01,1.29698,4.64768
sequence2.txt,5,0.1,2.40996,4.64768
sequence2.txt,5,1,4.15037,4.64768
